Module Code,Module Name,Number of Students,Department/School/Institute,Academic Year,Period
DRA111,Interventions,53,School of English & Drama - Department of Drama,2013/14,SEM2
DRA112,Languages of the Body,53,School of English & Drama - Department of Drama,2013/14,SEM1
DRA113,Staging the Image,53,School of English & Drama - Department of Drama,2013/14,SEM2
DRA201,Experimenters of the Twentieth Century,15,School of English & Drama - Department of Drama,2013/14,SEM2
DRA205,Performing Shakespeare,14,School of English & Drama - Department of Drama,2013/14,SEM2
DRA207,Performing the Play,0,School of English & Drama - Department of Drama,2013/14,SEM1
DRA209,Reading Theatre,17,School of English & Drama - Department of Drama,2013/14,SEM1
BUSM070,Accounting for Business Models,7,School of Business & Management,2013/14,SEM1
ECS601U,Control Systems,79,School of Engineering & Computer Science,2013/14,SEM1
CAN7001,Laparoscopy Skills,6,Barts Cancer Institute,2013/14,SEM1
CAN7001,Laparoscopy Skills,0,Barts Cancer Institute,2013/14,SEM3
CAN7002,Skills for Laparoscopic Hysterectomy,0,Barts Cancer Institute,2013/14,SEM1
CAN7002,Skills for Laparoscopic Hysterectomy,0,Barts Cancer Institute,2013/14,SEM2
CAN7004,Laparoscopic Suturing Skills,6,Barts Cancer Institute,2013/14,SEM1
CAN7004,Laparoscopic Suturing Skills,0,Barts Cancer Institute,2013/14,SEM3
CAN7005,Laparoscopic Procedure Skills (Cholecystectomy),0,Barts Cancer Institute,2013/14,SEM1
CAN7005,Laparoscopic Procedure Skills (Cholecystectomy),6,Barts Cancer Institute,2013/14,SEM2
CAN7006,Endoscopy Skills,0,Barts Cancer Institute,2013/14,SEM1
CAN7006,Endoscopy Skills,6,Barts Cancer Institute,2013/14,SEM2
CAN7007,Research Methods,6,Barts Cancer Institute,2013/14,SEM1
CAN7007,Research Methods,0,Barts Cancer Institute,2013/14,SEM3
CAN7008,Dissertation,0,Barts Cancer Institute,2013/14,YEAR
CAN7008,Dissertation,6,Barts Cancer Institute,2013/14,YEAR
DIN7003,The Dental Technology Research Project,4,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7004,Occlusion,4,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7005,Introduction to Implantology,4,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7006,Aesthetics,4,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7007,Advanced Technical Practice,4,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7008,Properties of Dental Materials I,10,Dental School / Institute of Dentistry,2013/14,SEM1
DIN7009,Properties of Dental Materials/Processing Methods II,10,Dental School / Institute of Dentistry,2013/14,SEM2
DIN7010,"Advanced Statistics, Ethics and Research Methods",1,Dental School / Institute of Dentistry,2013/14,SEM1
DIN7021,Molecular Organisation of the Eukaryotic Cell,6,Dental School / Institute of Dentistry,2013/14,SEM1
DIN7022,Techniques in Cell and Molecular Biology,6,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7023,Biology of Oral Tissues,6,Dental School / Institute of Dentistry,2013/14,SEM1
DIN7024,Cellular Pathology,6,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7025,Inflammation and Immunology (General and Oral),6,Dental School / Institute of Dentistry,2013/14,SEM1
DIN7026,Oral Pathology and Microbiology,6,Dental School / Institute of Dentistry,2013/14,SEM2
DIN7027,Laboratory Techniques,6,Dental School / Institute of Dentistry,2013/14,SEM2
DIN7029,Research Project,6,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7040,Principles of Clinical Issues in Dentistry,10,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7041,Clinical Skills I,10,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7042,Clinical Skills II - Manikin (Typodont) Practical Skills,6,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7050,Dental Public Health and the Primary Care Approach,0,Dental School / Institute of Dentistry,2013/14,SEM1
DIN7056,Evidence-Based Dentistry and Critical Appraisal,0,Dental School / Institute of Dentistry,2013/14,SEM2
DIN7057,Research Project (Dental Public Health),0,Dental School / Institute of Dentistry,2013/14,YEAR
ECCL015,Commercial and Investment Banking,3,School of Economics & Finance,2013/14,SEM1
DRA217,Issues in Contemporary Performance,21,School of English & Drama - Department of Drama,2013/14,SEM1
DRA218,Theatre Writings,10,School of English & Drama - Department of Drama,2013/14,SEM2
DRA220,Making Contemporary Theatre,13,School of English & Drama - Department of Drama,2013/14,SEM1
DRA224,Performance and Visual Culture,10,School of English & Drama - Department of Drama,2013/14,SEM2
DRA234,Costume Drama: the Past Performed,22,School of English & Drama - Department of Drama,2013/14,SEM1
DRA242,Group Practical Project,29,School of English & Drama - Department of Drama,2013/14,SEM2
DRA248,Adaptations,8,School of English & Drama - Department of Drama,2013/14,SEM1
DRA250,Approaches to Applied Performance,11,School of English & Drama - Department of Drama,2013/14,SEM1
DRA251,Theatre for the People,5,School of English & Drama - Department of Drama,2013/14,SEM2
DRA253,Staging the UK,5,School of English & Drama - Department of Drama,2013/14,SEM2
DRA254,Gender and Power in Early Modern Drama,21,School of English & Drama - Department of Drama,2013/14,SEM1
DRA256,Theatre and Performance in North America,16,School of English & Drama - Department of Drama,2013/14,SEM1
DRA302,Beyond Acting,9,School of English & Drama - Department of Drama,2013/14,SEM1
DRA304,"Culture, Performance and Globalisation",21,School of English & Drama - Department of Drama,2013/14,SEM1
DRA306,Dramaturgy and Translation,16,School of English & Drama - Department of Drama,2013/14,SEM1
SBS922,Membrane Proteins,0,School of Biological and Chemical Sciences,2013/14,SEM1
SBS929,Molecular Basis of Disease,99,School of Biological and Chemical Sciences,2013/14,SEM1
SBS929,Molecular Basis of Disease,2,School of Biological and Chemical Sciences,2013/14,SEM1
SBSM025,Aquatic Systems: Field Course,0,School of Biological and Chemical Sciences,2013/14,SEM1
CHEM561,Cancer Chemotherapy,0,School of Biological and Chemical Sciences,2013/14,SEM1
CHEM512,Contemporary Inorganic Chemistry,1,School of Biological and Chemical Sciences,2013/14,SEM1
CHEM702,Molecules and Ions at Interfaces,0,School of Biological and Chemical Sciences,2013/14,SEM2
CHEM601,Topics in Biological Chemistry,0,School of Biological and Chemical Sciences,2013/14,SEM2
CHE702U,Organic Synthesis 2 - Asymmetric Synthesis and Catalysis,9,School of Biological and Chemical Sciences,2013/14,SEM1
POLM053,The International Politics of Democratisation,0,School of Politics & International Relations,2013/14,SEM1
POLM052,Case studies in British and EU policy-making,6,School of Politics & International Relations,2013/14,SEM2
POL247,"Modernity: Theories of the State, Economy and Society",40,School of Politics & International Relations,2013/14,YEAR
MTH776P,Bayesian Statistics,0,School of Mathematical Sciences,2013/14,SEM2
MTHM002,Applied Statistics,0,School of Mathematical Sciences,2013/14,SEM1
MTHM002,Applied Statistics,0,School of Mathematical Sciences,2013/14,SEM1
MTHM007,Measure Theory and Probability,0,School of Mathematical Sciences,2013/14,SEM2
MTHM012,Topics in Probability and Stochastic Processes,0,School of Mathematical Sciences,2013/14,SEM1
MTHM012,Topics in Probability and Stochastic Processes,0,School of Mathematical Sciences,2013/14,SEM1
MTHM024,Group Theory,0,School of Mathematical Sciences,2013/14,SEM1
MTHM024,Group Theory,0,School of Mathematical Sciences,2013/14,SEM1
MTHM038,Project Dissertation,0,School of Mathematical Sciences,2013/14,YEAR
MTHM042,Bayesian Statistics,0,School of Mathematical Sciences,2013/14,SEM2
MTHM731,Computational Statistics,0,School of Mathematical Sciences,2013/14,SEM2
MTHM732,Topology,0,School of Mathematical Sciences,2013/14,SEM2
ECS509U,Probability and Matrices,99,School of Engineering & Computer Science,2013/14,SEM1
ESH6005,The Contemporary American Novel,37,School of English & Drama - Department of English,2013/14,SEM1
ESH6006,Modern Realisms,30,School of English & Drama - Department of English,2013/14,SEM2
LAW6017A,Comparative European Law (A): European Legal Systems,5,School of Law / Centre for Commercial Law Studies,2013/14,SEM1
SBSM029,Ecological Theory and Applications,0,School of Biological and Chemical Sciences,2013/14,SEM1
ESH7704,Early Modern Archival Skills,6,School of English & Drama - Department of English,2013/14,YEAR
ESH277A,"The Invention of America: American Literature, 1630 to 1865",4,School of English & Drama - Department of English,2013/14,SEM1
ESH6011,Thomas Hardy: Public and Personal Histories,3,School of English & Drama - Department of English,2013/14,SEM2
ESH7706,Early Modern Contexts,6,School of English & Drama - Department of English,2013/14,SEM1
POLM055,"Governing Migration, Security and Justice in Europe",0,School of Politics & International Relations,2013/14,SEM2
POL107A,Background to British Politics,23,School of Politics & International Relations,2013/14,SEM1
POL107B,Background to British Politics,0,School of Politics & International Relations,2013/14,SEM2
POL372,Africa and International Politics,84,School of Politics & International Relations,2013/14,SEM1
POL373,Parliamentary Studies,25,School of Politics & International Relations,2013/14,SEM1
POLM048,Global Politics of Health,0,School of Politics & International Relations,2013/14,SEM2
POL372,Africa and International Politics,0,School of Politics & International Relations,2013/14,SEM1
POL247A,"Modernity: Theories of the State, Economy and Society",2,School of Politics & International Relations,2013/14,SEM1
POL247B,"Modernity: Theories of the State, Economy and Society",0,School of Politics & International Relations,2013/14,SEM2
DIN3002,Oral Health Promotion,0,Dental School / Institute of Dentistry,2013/14,YEAR
DIN4001,Introduction to Clinical Dentistry,10,Dental School / Institute of Dentistry,2013/14,YEAR
DIN4002,Health Promotion and Disease Prevention,10,Dental School / Institute of Dentistry,2013/14,YEAR
DIN4005,Selected Study Component,10,Dental School / Institute of Dentistry,2013/14,YEAR
DIN4006,Health and Illness,9,Dental School / Institute of Dentistry,2013/14,YEAR
DIN4007,Clinical Periodontology,9,Dental School / Institute of Dentistry,2013/14,YEAR
DIN4008,Integrated Clinical Care,9,Dental School / Institute of Dentistry,2013/14,YEAR
DIN4009,Paediatric Dentistry,9,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7001,"Management, Leadership, Communication and Teamwork",4,Dental School / Institute of Dentistry,2013/14,YEAR
DIN7002,"Statistics, Ethics and Research Methods",28,Dental School / Institute of Dentistry,2013/14,SEM1
QLLM151,Negotiation Theory and Practice,0,School of Law / Centre for Commercial Law Studies,2013/14,SEM2
ESH6008,Solitude in Life and Letters in Enlightenment Britain,16,School of English & Drama - Department of English,2013/14,SEM1
ESH6009,The Lives of Letters in Eighteenth Century Culture,0,School of English & Drama - Department of English,2013/14,SEM1
ESH6010,Writing Modern London: 1900 to the present,37,School of English & Drama - Department of English,2013/14,SEM2
ESH6012,Victorian Poetry and Ideas of Culture,4,School of English & Drama - Department of English,2013/14,YEAR
ESH7104,"The Propaganda War in London, 1793-1796",0,School of English & Drama - Department of English,2013/14,SEM1
ESH7204,The State of the Novel,8,School of English & Drama - Department of English,2013/14,SEM2
ESH7305,J.M. Coetzee: In the Provinces of History,3,School of English & Drama - Department of English,2013/14,SEM2
ESH7705,News Communication in Early Modern Europe,3,School of English & Drama - Department of English,2013/14,SEM2
DRA106,Performance in History,101,School of English & Drama - Department of Drama,2013/14,SEM2
DRA107,Performance Texts,53,School of English & Drama - Department of Drama,2013/14,SEM1
SBS426,Mammals and Evolution,75,School of Biological and Chemical Sciences,2013/14,SEM2
SBS501,Animal Physiology,149,School of Biological and Chemical Sciences,2013/14,SEM1
SBS501,Animal Physiology,13,School of Biological and Chemical Sciences,2013/14,SEM1
SBS502,Fundamentals of Neurobiology,208,School of Biological and Chemical Sciences,2013/14,SEM2
SBS517,Endocrine Physiology and Biochemistry,186,School of Biological and Chemical Sciences,2013/14,SEM1
SBS517,Endocrine Physiology and Biochemistry,8,School of Biological and Chemical Sciences,2013/14,SEM1
SBS625,Developmental Biology and Cell Signalling,43,School of Biological and Chemical Sciences,2013/14,SEM2
SBS633,Evolutionary Genetics,117,School of Biological and Chemical Sciences,2013/14,SEM1
SBS633,Evolutionary Genetics,0,School of Biological and Chemical Sciences,2013/14,SEM1
SBS641,Transmission Genetics,74,School of Biological and Chemical Sciences,2013/14,SEM1
SBS641,Transmission Genetics,2,School of Biological and Chemical Sciences,2013/14,SEM1
SBS642,Genes and Bioinformatics,136,School of Biological and Chemical Sciences,2013/14,SEM2
SBS703,Cancer Biology,122,School of Biological and Chemical Sciences,2013/14,SEM2
MTH712P,Topics in Probability and Stochastic Processes,1,School of Mathematical Sciences,2013/14,SEM1
MTH714U,Group Theory,11,School of Mathematical Sciences,2013/14,SEM1
MTH714U,Group Theory,0,School of Mathematical Sciences,2013/14,SEM1
MTH716U,Measure Theory and Probability,3,School of Mathematical Sciences,2013/14,SEM2
MTH717U,MSci Project,13,School of Mathematical Sciences,2013/14,YEAR
MTH731U,Computational Statistics,2,School of Mathematical Sciences,2013/14,SEM2
MTH732U,Topology,7,School of Mathematical Sciences,2013/14,SEM2
MTH734U,Topics in Probability and Stochastic Processes,3,School of Mathematical Sciences,2013/14,SEM1
MTH734U,Topics in Probability and Stochastic Processes,0,School of Mathematical Sciences,2013/14,SEM1
MTH739P,Topics in Scientific Computing,0,School of Mathematical Sciences,2013/14,SEM2
MTH739U,Topics in Scientific Computing,7,School of Mathematical Sciences,2013/14,SEM2
MTH742P,Advanced Combinatorics,0,School of Mathematical Sciences,2013/14,SEM2
MTH743P,Complex Systems,0,School of Mathematical Sciences,2013/14,SEM2
MTH743U,Complex Systems,4,School of Mathematical Sciences,2013/14,SEM2
MTH744P,Dynamical Systems,0,School of Mathematical Sciences,2013/14,SEM1
MTH744U,Dynamical Systems,8,School of Mathematical Sciences,2013/14,SEM1
MTH744U,Dynamical Systems,0,School of Mathematical Sciences,2013/14,SEM1
MTH768P,Pre-sessional Probability and Statistics,0,School of Mathematical Sciences,2013/14,SEM1
MTH770P,Computational Methods in Finance,2,School of Mathematical Sciences,2013/14,SEM1
MTH771P,Foundations of Mathematical Modelling in Finance,5,School of Mathematical Sciences,2013/14,SEM1
MTH772P,Stochastic Calculus and Black-Scholes Theory,5,School of Mathematical Sciences,2013/14,SEM2
MTH773P,Advanced Computing in Finance,1,School of Mathematical Sciences,2013/14,SEM2
MTH774P,Portfolio Theory and Risk Management,1,School of Mathematical Sciences,2013/14,SEM2
MTH775P,Mathematical Finance Dissertation,0,School of Mathematical Sciences,2013/14,YEAR
CHE205,Problem Solving in Chemistry,56,School of Biological and Chemical Sciences,2013/14,YEAR
LCMM050,Researching Modern Culture,15,School of English & Drama - Department of English,2013/14,SEM2
LCMM051,Imagining the Modern Caribbean,3,School of English & Drama - Department of English,2013/14,SEM1
LCMM052,Writing the East End,8,School of English & Drama - Department of English,2013/14,SEM2
PFRM020,Performance Research,14,School of English & Drama - Department of Drama,2013/14,SEM1
PFRM026,Performance Research B,0,School of English & Drama - Department of Drama,2013/14,SEM1
PFRM027,Dissertation,12,School of English & Drama - Department of Drama,2013/14,YEAR
RENM021,Public and Private Cultures in Renaissance England,7,School of English & Drama - Department of English,2013/14,SEM1
RENM033,Renaissance and Early Modern Studies: Research Preparation,6,School of English & Drama - Department of English,2013/14,SEM2
WASM017,"London Panoramas: Research, Culture and the Long Eighteenth Century",2,School of English & Drama - Department of English,2013/14,SEM2
WASM018,Resources for Research,33,School of English & Drama - Department of English,2013/14,SEM1
WASM021,Romantic Manifestos,4,School of English & Drama - Department of English,2013/14,SEM2
